FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. J.R. Hoell (R),"Hoell, J.R.",J.R.,Hoell,R,Merrimack,23,Merrimack-23,376949,46,46,46,0,0,0,112,112,0,100,A+,21.5,119.2,A+
Rep. Daniel Itse (r),"Itse, Daniel",Daniel,Itse,R,Rockingham,10,Rockingham-10,376357,46,46,45,0,1,0,112,111.5,2.2,99.6,A+,17,114.8,A+
Rep. Michael Sylvia (r),"Sylvia, Michael",Michael,Sylvia,R,Belknap,6,Belknap-6,377177,46,46,45,0,1,0,112,110,2.2,98.2,A+,9,106.2,A+
Rep. Victoria Sullivan (R),"Sullivan, Victoria",Victoria,Sullivan,R,Hillsborough,16,Hillsborough-16,377265,46,46,46,0,0,0,112,112,0,100,A+,5.5,104.9,A+
Rep. John Burt (R),"Burt, John",John,Burt,R,Hillsborough,39,Hillsborough-39,376912,46,46,46,0,0,0,112,112,0,100,A+,5,104.5,A+
Rep. Keith Ammon (r),"Ammon, Keith",Keith,Ammon,R,Hillsborough,40,Hillsborough-40,377204,46,46,45,0,1,0,112,111.5,2.2,99.6,A+,4.5,103.6,A+
Rep. Carol McGuire (r),"McGuire, Carol",Carol,McGuire,R,Merrimack,29,Merrimack-29,376841,46,46,42,3,1,0,112,105.5,2.2,94.2,A,10.5,103.6,A+
Rep. Ed Comeau (r),"Comeau, Ed",Ed,Comeau,R,Carroll,5,Carroll-5,377215,46,46,46,0,0,0,112,112,0,100,A+,2,101.8,A+
Rep. James Spillane (r),"Spillane, James",James,Spillane,R,Rockingham,2,Rockingham-2,377264,46,46,44,0,2,0,112,110.5,4.3,98.7,A+,3,101.4,A+
Rep. Elizabeth Ferreira (r),"Ferreira, Elizabeth",Elizabeth,Ferreira,R,Hillsborough,28,Hillsborough-28,377224,46,46,46,0,0,0,112,112,0,100,A+,1,100.9,A+
Rep. Kurt Wuelper (R),"Wuelper, Kurt",Kurt,Wuelper,R,Strafford,3,Strafford-3,377277,46,46,44,2,0,0,112,107,0,95.5,A,6,100.9,A+
Rep. Glen Dickey (r),"Dickey, Glen",Glen,Dickey,R,Hillsborough,5,Hillsborough-5,408313,46,46,46,0,0,0,112,112,0,100,A+,0,100,A+
Rep. Tiffany Johnson (r),"Johnson, Tiffany",Tiffany,Johnson,R,Grafton,7,Grafton-7,408293,46,46,46,0,0,0,112,112,0,100,A+,0,100,A+
Rep. Andrew Prout (r),"Prout, Andrew",Andrew,Prout,R,Hillsborough,37,Hillsborough-37,408359,46,46,46,0,0,0,112,112,0,100,A+,0,100,A+
Rep. Brian Seaworth (r),"Seaworth, Brian",Brian,Seaworth,R,Merrimack,20,Merrimack-20,377023,46,46,46,0,0,0,112,112,0,100,A+,0,100,A+
Rep. Keith Murphy (r),"Murphy, Keith",Keith,Murphy,R,Hillsborough,7,Hillsborough-7,376990,46,46,42,0,4,0,112,107.5,8.7,96,A,4,99.6,A+
Rep. Leonard Turcotte (r),"Turcotte, Leonard",Leonard,Turcotte,R,Strafford,4,Strafford-4,377269,46,46,42,3,1,0,112,104,2.2,92.9,A,7,99.2,A+
Rep. Michael Costable (r),"Costable, Michael",Michael,Costable,R,Rockingham,3,Rockingham-3,408389,46,46,45,0,1,0,112,111,2.2,99.1,A+,0,99.1,A+
Rep. Carolyn Halstead (r),"Halstead, Carolyn",Carolyn,Halstead,R,Hillsborough,23,Hillsborough-23,377301,46,46,45,1,0,0,112,111,0,99.1,A+,0,99.1,A+
