FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. John Burt (R),"Burt, John",John,Burt,R,Hillsborough,39,Hillsborough-39,376912,87,87,87,0,0,0,241,241,0,100,A+,0,100,A+
Rep. Michael Costable (R),"Costable, Michael",Michael,Costable,R,Rockingham,3,Rockingham-3,408389,87,87,87,0,0,0,241,241,0,100,A+,0,100,A+
Rep. Kevin  Craig (R),"Craig, Kevin ",Kevin ,Craig,R,Coos,4,Coos-4,408944,87,87,87,0,0,0,241,241,0,100,A+,0,100,A+
Rep. Hershel Nunez (R),"Nunez, Hershel",Hershel,Nunez,R,Hillsborough,37,Hillsborough-37,408882,87,87,86,1,0,0,241,240,0,99.6,A+,0.833333313465118,99.9,A+
Rep. Michael Sylvia (R),"Sylvia, Michael",Michael,Sylvia,R,Belknap,6,Belknap-6,377177,87,87,86,1,0,0,241,238,0,98.8,A+,0.33333334326744,98.9,A+
Rep. Dan Davis (R),"Davis, Dan",Dan,Davis,R,Rockingham,16,Rockingham-16,408916,87,87,85,1,1,0,241,237.5,1.1,98.5,A+,0.33333334326744,98.6,A+
Rep. Alan Bershtein (R),"Bershtein, Alan",Alan,Bershtein,R,Rockingham,2,Rockingham-2,408899,87,87,85,2,0,0,241,236,0,97.9,A+,0,97.9,A+
Rep. Tony Lekas (R),"Lekas, Tony",Tony,Lekas,R,Hillsborough,37,Hillsborough-37,408881,87,87,83,2,2,0,241,234.5,2.3,97.3,A+,0.33333334326744,97.4,A+
Rep. Andrew Prout (R),"Prout, Andrew",Andrew,Prout,R,Hillsborough,37,Hillsborough-37,408359,87,87,81,0,6,0,241,232,6.9,96.3,A,1.33333337306976,96.9,A
Rep. Carol McGuire (R),"McGuire, Carol",Carol,McGuire,R,Merrimack,29,Merrimack-29,376841,87,87,78,3,6,0,241,226.5,6.9,94,A,5.5,96.3,A
Rep. Raymond Howard (R),"Howard, Raymond",Raymond,Howard,R,Belknap,8,Belknap-8,377237,87,87,84,3,0,0,241,231,0,95.9,A,0,95.9,A
Rep. James Whittemore (R),"Whittemore, James",James,Whittemore,R,Hillsborough,37,Hillsborough-37,408883,87,87,82,4,1,0,241,231,1.1,95.9,A,0,95.9,A
Rep. Alicia Lekas (R),"Lekas, Alicia",Alicia,Lekas,R,Hillsborough,37,Hillsborough-37,408880,87,87,80,3,4,0,241,229.5,4.6,95.2,A,0.33333334326744,95.3,A
Rep. Chris True (R),"True, Chris",Chris,1,R,Rockingham,4,Rockingham-4,377268,87,87,81,6,0,0,241,226,0,93.8,A,3.50000008940696,95.3,A
Rep. John O'Day (R),"O'Day, John",John,O'Day,R,Cheshire,11,Cheshire-11,408284,87,87,83,4,0,0,241,229,0,95,A,0,95,A
Rep. Josh Yokela (R),"Yokela, Josh",Josh,Yokela,R,Rockingham,33,Rockingham-33,408926,87,87,81,5,1,0,241,227,1.1,94.2,A,2,95,A
Rep. Michael Yakubovich (R),"Yakubovich, Michael",Michael,Yakubovich,R,Merrimack,24,Merrimack-24,408896,87,87,75,1,11,0,241,226,12.6,93.8,A,0.833333313465118,94.1,A
Rep. Mark Warden (R),"Warden, Mark",Mark,Warden,R,Hillsborough,15,Hillsborough-15,377049,87,87,75,0,12,0,241,225,13.8,93.4,A,1.33333337306976,94,A
Rep. Jess Edwards (R),"Edwards, Jess",Jess,Edwards,R,Rockingham,4,Rockingham-4,408392,87,87,80,5,2,0,241,226,2.3,93.8,A,0.33333334326744,93.9,A
Rep. Glen Aldrich (R),"Aldrich, Glen",Glen,Aldrich,R,Belknap,2,Belknap-2,377203,87,87,75,4,8,0,241,224.5,9.2,93.2,A,0,93.2,A
Rep. Richard Marple (R),"Marple, Richard",Richard,Marple,R,Merrimack,24,Merrimack-24,376245,87,87,80,6,1,0,241,224.5,1.1,93.2,A,0,93.2,A
Rep. Terry Roy (R),"Roy, Terry",Terry,Roy,R,Rockingham,32,Rockingham-32,408925,87,87,79,7,1,0,241,224,1.1,92.9,A,0,92.9,A
Rep. Brian Seaworth (R),"Seaworth, Brian",Brian,Seaworth,R,Merrimack,20,Merrimack-20,377023,87,87,77,1,9,0,241,222,10.3,92.1,A,1.33333337306976,92.7,A
Rep. Ed Comeau (R),"Comeau, Ed",Ed,Comeau,R,Carroll,5,Carroll-5,377215,87,87,78,2,7,0,241,223,8,92.5,A,0,92.5,A
Rep. Bob Greene (R),"Greene, Bob",Bob,Greene,R,Hillsborough,37,Hillsborough-37,408879,87,87,81,6,0,0,241,221,0,91.7,A-,0.833333313465118,92,A
Rep. David Love (R),"Love, David",David,Love,R,Rockingham,6,Rockingham-6,408905,87,87,79,8,0,0,241,219,0,90.9,A-,2.66666659712791,92,A
Rep. Dennis Acton (R),"Acton, Dennis",Dennis,Acton,R,Rockingham,10,Rockingham-10,408912,87,87,75,5,7,0,241,220.5,8,91.5,A-,0.5,91.7,A-
Rep. Howard Pearl (R),"Pearl, Howard",Howard,Pearl,R,Merrimack,26,Merrimack-26,408383,87,87,80,7,0,0,241,223,0,92.5,A,-2.83333331346511,91.3,A-
Rep. Kurt Wuelper (R),"Wuelper, Kurt",Kurt,Wuelper,R,Strafford,3,Strafford-3,377277,87,87,79,8,0,0,241,218,0,90.5,A-,2.00000005960464,91.3,A-
Rep. Tony Piemonte (R),"Piemonte, Tony",Tony,Piemonte,R,Rockingham,4,Rockingham-4,408902,87,87,78,7,2,0,241,219,2.3,90.9,A-,0,90.9,A-
Rep. Jeanine Notter (R),"Notter, Jeanine",Jeanine,Notter,R,Hillsborough,21,Hillsborough-21,376991,87,87,78,8,1,0,241,217,1.1,90,A-,1.33333337306976,90.6,A-
Rep. Barbara Comtois (R),"Comtois, Barbara",Barbara,Comtois,R,Belknap,7,Belknap-7,408274,87,87,71,3,13,0,241,217,14.9,90,A-,1.16666665673255,90.5,A-
Rep. Charles Melvin (R),"Melvin, Charles",Charles,Melvin,R,Rockingham,15,Rockingham-15,408915,87,87,78,9,0,0,241,218,0,90.5,A-,0,90.5,A-
