FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Sen. John Reagan (R),"Reagan, John",John,Reagan,R,NULL,17,Senate 17,209095,39,39,36,3,0,0,97,91,0,93.8,A,29,119.7,A+
Sen. Andy Sanborn (R),"Sanborn, Andy",Andy,Sanborn,R,NULL,9,Senate 9,209083,39,39,36,3,0,0,97,90,0,92.8,A,24,114.2,A+
Sen. Kevin Avard (R),"Avard, Kevin",Kevin,Avard,R,NULL,12,Senate 12,209099,39,39,31,8,0,0,97,80,0,82.5,B+,26,105.7,A+
Sen. Bob Giuda (R),"Giuda, Bob",Bob,Giuda,R,NULL,2,Senate 2,218737,39,39,30,5,4,0,97,78.5,10.3,80.9,B+,16.5,95.6,A
Sen. Harold French (R),"French, Harold",Harold,French,R,NULL,7,Senate 7,218748,39,39,34,5,0,0,97,85,0,87.6,A-,8.5,95.2,A
Sen. Ruth Ward (R),"Ward, Ruth",Ruth,Ward,R,NULL,8,Senate 8,218740,39,39,30,9,0,0,97,77,0,79.4,B,11,89.2,A-
Sen. Gary Daniels (R),"Daniels, Gary",Gary,Daniels,R,NULL,11,Senate 11,209098,39,39,31,8,0,0,97,78,0,80.4,B+,8.5,88,A-
Sen. Chuck Morse (R),"Morse, Chuck",Chuck,Morse,R,NULL,22,Senate 22,209057,39,39,32,7,0,0,97,80,0,82.5,B+,5.5,87.4,A-
Sen. Jeb Bradley (R),"Bradley, Jeb",Jeb,Bradley,R,NULL,3,Senate 3,209078,39,39,28,9,0,0,97,75,0,77.3,B,8.5,84.9,B+
Sen. James Gray (R),"Gray, James",James,Gray,R,NULL,6,Senate 6,218739,39,39,29,10,0,0,97,74,0,76.3,B,4,79.9,B
Sen. Daniel Innis (R),"Innis, Daniel",Daniel,Innis,R,NULL,24,Senate 24,218747,39,39,27,12,0,0,97,69,0,71.1,B-,8.5,78.7,B
Sen. Regina Birdsell (R),"Birdsell, Regina",Regina,Birdsell,R,NULL,19,Senate 19,209101,39,39,27,12,0,0,97,68,0,70.1,B-,6,75.5,B
Sen. William Gannon (R),"Gannon, William",William,Gannon,R,NULL,23,Senate 23,218745,39,39,25,14,0,0,97,61,0,62.9,C+,4,66.5,C+
Sen. Sharon Carson (R),"Carson, Sharon",Sharon,Carson,R,NULL,14,Senate 14,209076,39,39,24,15,0,0,97,62,0,63.9,C+,-1,63,C+
Sen. Scott McGilvray (D),"McGilvray, Scott",Scott,McGilvray,D,NULL,16,Senate 16,218746,39,39,0,14,12,0,97,30,30.8,30.9,D,-2.5,28.7,D
Sen. Martha Hennessey (D),"Hennessey, Martha",Martha,Hennessey,D,NULL,5,Senate 5,218738,39,39,5,26,8,0,97,23,20.5,23.7,D-,-9.5,15.2,F
Sen. Jeff Woodburn (D),"Woodburn, Jeff",Jeff,Woodburn,D,NULL,1,Senate 1,209090,39,39,6,33,0,0,97,15,0,15.5,F,-4.5,11.5,CT
Sen. David Watters (D),"Watters, David",David,Watters,D,NULL,4,Senate 4,209091,39,39,5,34,0,0,97,12,0,12.4,CT,-14.5,-0.5,CT
Sen. Lou D'Allesandro (D),"D'Allesandro, Lou",Lou,D'Allesandro,D,NULL,20,Senate 20,209015,39,39,4,35,0,0,97,10,0,10.3,CT,-12.5,-0.9,CT
Sen. Martha Fuller Clark (D),"Fuller Clark, Martha",Martha,Fuller Clark,D,NULL,21,Senate 21,209061,39,39,6,32,1,0,97,17,2.6,17.5,F,-21.5,-1.7,CT
Sen. Dan Feltes (d),"Feltes, Dan",Dan,Feltes,D,NULL,15,Senate 15,209100,39,39,7,32,0,0,97,18,0,18.6,F,-25,-3.7,CT
Sen. Bette Lasky (D),"Lasky, Bette",Bette,Lasky,D,NULL,13,Senate 13,209075,39,39,3,34,2,0,97,10,5.1,10.3,CT,-18,-5.8,CT
Sen. Jay Kahn (D),"Kahn, Jay",Jay,Kahn,D,NULL,10,Senate 10,218744,39,39,4,35,0,0,97,11,0,11.3,CT,-20,-6.6,CT
Sen. Donna Soucy (D),"Soucy, Donna",Donna,Soucy,D,NULL,18,Senate 18,209096,39,39,3,35,1,0,97,9,2.6,9.3,CT,-18,-6.8,CT
,,,,,,,,,,,,,,,,,,,,,53.0375,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A+,3,,,,,,,,,,,,,,,
,,,,,,A+,3,,,,,,,,,,,,,,,
,,,,,,A-,3,,,,,,,,,,,,,,,
,,,,,,B+,1,,,,,,,,,,,,,,,
,,,,,,B+,1,,,,,,,,,,,,,,,
,,,,,,B-,0,,,,,,,,,,,,,,,
,,,,,,C+,2,,,,,,,,,,,,,,,
,,,,,,C,0,,,,,,,,,,,,,,,
,,,,,,C-,0,,,,,,,,,,,,,,,
,,,,,,D+,0,,,,,,,,,,,,,,,
,,,,,,D,1,,,,,,,,,,,,,,,
,,,,,,D-,0,,,,,,,,,,,,,,,
,,,,,,F,1,,,,,,,,,,,,,,,
,,,,,,CT,8,,,,,,,,,,,,,,,
,,,,,,Inc,0,,,,,,,,,,,,,,,
